N,P,K,pH,Moisture,Temperature,Recommended Crop,Recommended Fertilizer & Quantity,Predicted Yield
23,32,30,5.7,39.8,23.3,Rice,Urea - 50kg/ha,3.93
38,47,62,5.6,43.4,27.4,Cotton,Urea - 45kg/ha,3.02
30,12,43,6.5,55.0,21.2,Cotton,Potash - 40kg/ha,5.47
63,21,50,6.8,44.2,20.3,Wheat,Potash - 40kg/ha,3.08
54,28,36,6.0,39.9,29.7,Corn,Potash - 40kg/ha,4.23
23,14,40,6.8,58.6,29.5,Corn,Urea - 50kg/ha,3.07
37,43,56,5.9,51.7,29.4,Corn,Urea - 50kg/ha,2.66
34,42,25,5.9,55.1,25.5,Soybean,DAP - 60kg/ha,5.29
74,42,35,6.8,45.3,21.0,Cotton,Urea - 50kg/ha,4.45
20,18,51,7.4,40.2,25.0,Cotton,DAP - 60kg/ha,2.77
73,37,59,7.3,40.0,23.6,Cotton,DAP - 55kg/ha,5.63
73,12,25,5.6,69.7,25.8,Rice,Urea - 50kg/ha,3.87
38,39,41,7.5,56.6,29.0,Soybean,DAP - 55kg/ha,3.99
53,30,30,6.2,34.0,24.7,Cotton,Potash - 40kg/ha,4.23
76,28,56,6.6,55.7,28.2,Cotton,DAP - 55kg/ha,3.29
50,41,27,6.2,34.1,24.9,Corn,Potash - 40kg/ha,4.43
78,35,58,7.1,42.0,29.5,Corn,DAP - 60kg/ha,3.37
37,12,27,6.8,63.8,24.7,Cotton,Urea - 45kg/ha,5.43
35,20,37,7.3,66.6,27.1,Rice,DAP - 55kg/ha,5.39
46,34,42,5.9,64.4,24.6,Cotton,Urea - 45kg/ha,4.17
36,48,26,6.8,52.2,24.0,Corn,Urea - 45kg/ha,4.36
38,19,56,6.6,48.1,27.5,Soybean,DAP - 60kg/ha,5.98
71,10,57,6.7,39.8,27.5,Rice,Potash - 40kg/ha,5.28
42,16,65,6.2,61.9,22.2,Wheat,Urea - 50kg/ha,2.72
61,26,44,5.5,54.9,24.1,Soybean,DAP - 60kg/ha,3.1
62,42,48,6.9,51.2,20.1,Soybean,Urea - 45kg/ha,4.59
23,39,61,6.9,40.4,20.2,Rice,Urea - 50kg/ha,3.8
34,40,34,7.2,42.4,21.4,Rice,Urea - 50kg/ha,5.31
26,36,58,7.4,39.8,27.6,Cotton,Potash - 40kg/ha,4.74
65,47,59,5.9,55.5,20.8,Wheat,Urea - 45kg/ha,5.97
44,40,62,5.6,54.5,29.4,Rice,DAP - 60kg/ha,2.55
65,35,22,7.1,36.9,21.9,Rice,Potash - 40kg/ha,4.03
44,27,62,7.3,43.3,28.9,Soybean,DAP - 60kg/ha,3.93
50,18,66,5.8,30.7,29.5,Cotton,DAP - 55kg/ha,4.02
33,37,62,5.7,37.1,24.3,Cotton,Urea - 45kg/ha,5.6
31,32,38,7.2,51.1,25.2,Corn,Urea - 45kg/ha,3.92
76,16,34,7.5,45.1,23.2,Wheat,Potash - 40kg/ha,5.29
71,35,54,6.3,53.5,29.0,Corn,DAP - 60kg/ha,4.71
41,30,29,7.3,46.8,25.1,Cotton,Urea - 50kg/ha,4.21
20,41,33,7.0,33.7,29.8,Soybean,Potash - 40kg/ha,4.92
48,38,48,6.1,56.7,29.7,Soybean,Urea - 45kg/ha,3.3
24,44,24,5.8,67.8,29.5,Wheat,Urea - 45kg/ha,3.0
38,36,38,5.9,40.9,23.6,Cotton,Urea - 50kg/ha,5.89
41,13,65,6.6,38.3,20.8,Soybean,DAP - 60kg/ha,3.87
73,40,50,6.3,63.5,26.7,Rice,Urea - 45kg/ha,3.56
57,20,47,7.4,40.8,28.7,Wheat,Potash - 40kg/ha,3.43
76,43,31,6.3,45.1,23.5,Rice,DAP - 60kg/ha,4.68
64,22,61,5.7,38.9,29.6,Cotton,DAP - 60kg/ha,5.99
33,10,57,5.7,55.1,29.1,Cotton,Urea - 45kg/ha,5.63
35,29,63,7.3,48.0,26.3,Rice,DAP - 55kg/ha,3.9
25,43,55,6.5,44.8,21.2,Corn,Potash - 40kg/ha,5.63
47,40,38,7.4,40.4,28.9,Wheat,Urea - 45kg/ha,4.1
20,36,49,7.4,68.2,21.2,Rice,Potash - 40kg/ha,2.88
25,36,27,7.4,33.4,25.2,Rice,Urea - 45kg/ha,3.16
21,35,50,7.3,41.0,20.2,Corn,DAP - 55kg/ha,3.35
79,24,52,7.3,43.8,21.5,Soybean,DAP - 60kg/ha,5.71
48,36,67,6.7,62.7,25.6,Wheat,DAP - 55kg/ha,5.93
24,48,21,7.4,68.1,20.0,Corn,Potash - 40kg/ha,3.29
54,10,28,7.1,30.3,21.5,Rice,DAP - 60kg/ha,3.91
51,36,57,6.9,68.4,22.2,Soybean,Urea - 45kg/ha,5.94
34,18,58,7.3,68.5,20.4,Cotton,DAP - 55kg/ha,5.47
78,39,21,7.1,66.5,25.8,Soybean,DAP - 55kg/ha,4.05
29,21,45,6.3,66.8,27.6,Cotton,Urea - 45kg/ha,4.08
37,18,53,6.1,62.1,20.4,Corn,Urea - 45kg/ha,5.58
50,13,50,5.8,42.0,24.2,Cotton,DAP - 55kg/ha,2.6
79,40,41,7.4,62.1,25.4,Cotton,Potash - 40kg/ha,5.76
37,49,32,5.7,49.6,25.2,Rice,DAP - 55kg/ha,2.81
63,12,37,7.0,51.6,24.8,Cotton,DAP - 55kg/ha,5.66
25,26,46,6.3,30.9,21.0,Cotton,Potash - 40kg/ha,2.72
52,43,27,6.4,49.0,22.5,Wheat,Urea - 45kg/ha,5.89
78,41,57,5.7,40.8,29.3,Rice,Potash - 40kg/ha,2.53
24,48,62,5.7,43.5,21.8,Corn,Potash - 40kg/ha,5.88
39,11,64,6.2,49.0,27.8,Corn,DAP - 60kg/ha,2.72
45,20,65,6.9,57.5,21.5,Corn,DAP - 55kg/ha,2.94
36,17,61,6.0,33.0,27.4,Corn,Potash - 40kg/ha,5.87
61,44,64,6.9,54.2,26.8,Soybean,Urea - 50kg/ha,5.27
60,46,20,7.5,42.0,29.9,Wheat,DAP - 55kg/ha,5.44
77,36,54,6.3,63.1,21.5,Rice,Urea - 50kg/ha,4.01
71,38,33,7.4,65.8,22.8,Rice,Urea - 50kg/ha,2.78
33,18,26,5.7,34.0,28.4,Soybean,Potash - 40kg/ha,3.02
37,18,21,6.1,65.0,25.6,Rice,Urea - 50kg/ha,5.73
46,26,26,6.7,51.6,23.3,Corn,Urea - 45kg/ha,3.85
50,11,26,5.9,36.6,21.5,Soybean,DAP - 55kg/ha,5.14
74,31,24,6.2,30.4,25.6,Corn,Urea - 50kg/ha,4.92
34,26,66,6.4,54.2,24.8,Soybean,Potash - 40kg/ha,4.16
62,11,59,6.8,51.3,22.5,Corn,DAP - 60kg/ha,5.51
52,33,27,5.9,58.6,26.3,Cotton,Potash - 40kg/ha,4.79
35,47,42,6.2,50.3,26.8,Rice,Urea - 45kg/ha,5.09
30,35,50,7.4,30.9,25.5,Wheat,DAP - 60kg/ha,5.43
21,26,38,6.0,47.3,26.7,Corn,Urea - 45kg/ha,3.28
32,12,47,7.0,63.6,22.6,Rice,DAP - 60kg/ha,3.53
22,31,44,7.2,45.3,29.0,Rice,DAP - 60kg/ha,5.14
39,42,52,6.8,40.5,20.5,Soybean,DAP - 60kg/ha,5.4
21,15,57,7.1,41.6,21.7,Rice,Urea - 50kg/ha,4.59
42,49,50,7.5,34.2,22.2,Cotton,DAP - 55kg/ha,5.98
43,21,26,6.2,45.3,29.5,Soybean,Urea - 45kg/ha,5.57
46,26,49,6.0,61.1,22.9,Rice,DAP - 60kg/ha,5.3
41,42,37,6.4,32.4,29.3,Corn,Urea - 50kg/ha,3.36
20,48,31,6.8,66.7,24.8,Soybean,Potash - 40kg/ha,3.67
50,34,23,5.7,48.0,27.2,Wheat,DAP - 55kg/ha,3.76
32,41,44,5.6,56.3,22.8,Wheat,Potash - 40kg/ha,2.82
56,23,44,5.8,44.9,27.0,Rice,DAP - 60kg/ha,5.06
40,41,68,5.8,40.7,28.7,Cotton,DAP - 60kg/ha,3.94
72,41,33,5.6,33.8,25.8,Cotton,Urea - 50kg/ha,4.67
63,15,20,6.7,48.9,29.1,Cotton,Urea - 45kg/ha,4.98
59,39,34,6.7,46.8,23.9,Wheat,DAP - 60kg/ha,2.53
46,43,55,6.5,52.9,26.2,Rice,DAP - 60kg/ha,2.67
56,21,33,5.8,46.1,22.8,Wheat,Urea - 45kg/ha,3.67
39,47,58,7.4,47.9,21.5,Rice,Urea - 50kg/ha,4.79
59,30,29,6.9,61.5,21.6,Wheat,DAP - 55kg/ha,4.17
55,48,30,5.7,35.1,24.4,Corn,DAP - 60kg/ha,5.79
64,18,35,6.7,46.3,29.4,Soybean,Potash - 40kg/ha,3.4
73,22,69,5.6,35.6,23.0,Soybean,DAP - 55kg/ha,2.86
39,49,21,6.3,67.5,20.9,Wheat,DAP - 55kg/ha,2.9
79,22,51,7.1,63.2,24.5,Rice,DAP - 55kg/ha,3.29
68,46,23,6.6,63.9,21.4,Rice,Urea - 50kg/ha,3.33
55,28,56,5.7,35.5,22.1,Cotton,Potash - 40kg/ha,3.83
58,16,39,7.2,65.0,29.1,Cotton,Urea - 45kg/ha,4.47
20,42,37,5.6,35.7,26.4,Wheat,Urea - 50kg/ha,3.37
67,20,28,6.5,48.6,25.2,Rice,Urea - 50kg/ha,4.3
61,19,67,6.5,34.0,22.2,Corn,DAP - 60kg/ha,4.17
77,23,65,7.0,67.2,20.9,Soybean,DAP - 55kg/ha,3.58
27,20,57,7.5,69.4,29.4,Rice,DAP - 55kg/ha,4.02
